N Proj,Promotor,Designacao,Instrumento,Aviso,Aut Gestao,Org Intermedio,Concelho,Regiao,Sector,CAE (Rev3),Estrategia de Eficiencia Colectiva,Data de Aprovacao,Investimento Elegivel,Incentivo,N Contribuinte do Promotor
30615,"CASTANHEIRA & CASTANHEIRA, LDA",BALANCED SCORECARD,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,IAPMEI,Viana do Castelo,Norte,Comercio,"46493 - Comercio por grosso de brinquedos, jogos e artigos de desporto",,19-Mar-13,19850,14888,502095598
30619,"AGRISERVIR - TRANSPORTE DE aGUAS RESIDUAIS, LDA",IMPLEMENTAcaO DO SISTEMA DE GESTaO DA QUALIDADE,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,IAPMEI,Guimaraes,Norte,Transportes,49410 - Transportes rodoviarios de mercadorias,,19-Mar-13,18500,13875,505484820
30621,"TOOGAS, LDA","ESTUDO DE MERCADO, MODELAcaO DO PLANO DE NEGoCIOS E DE COMERCIALIZAcaO DA TOOGAS LDA",SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,IAPMEI,Vila Nova de Gaia,Norte,Servicos,62090 - Outras actividades relacionadas com as tecnologias da informacao e informatica,,19-Mar-13,20500,15000,508525799
30528,"CARLOS COUCELO CONSULTORIA GEOMaTICA, LDA","ESTUDO DE MERCADO, MODELAcaO DO PLANO DE NEGoCIOS E DESENVOLVIMENTO DOS CONCEITOS DE COMERCIALIZAcaO DOS PRODUTOS DA CCCGEO",SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Lisboa,IAPMEI,Oeiras,Lisboa,Servicos,70220 - Outras actividades de consultoria para os negocios e a gestao,,19-Mar-13,20500,15000,505357763
30529,"AUGUSTO FERREIRA-STOC, UNIPESSOAL, LDA",SISTEMA INTEGRADO DE GESTaO EMPRESARIAL,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,IAPMEI,Felgueiras,Norte,Servicos,"69200 - Actividades de contabilidade, auditoria e consultoria fiscal",,19-Mar-13,18000,13500,507613830
30530,"FLOWMAT - SISTEMAS INDUSTRIAIS, LDA",LOG-CONFIG: INTERNAL LOGISTICS CONFIGURATION SYSTEM,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,IAPMEI,Sao Joao da Madeira,Norte,Industria,"28293 - Fabricacao de outras maquinas diversas de uso geral, ne",,19-Mar-13,20000,15000,509083072
30531,"GODILAC II, SA",CERTIFICAcaO DO PROCESSO DE CRAVAcaO,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,IAPMEI,Santo Tirso,Norte,Industria,25610 - Tratamento e revestimento de metais,,19-Mar-13,20000,15000,510114016
30535,"CHEAPTRADE - LOJAS DE INFORMaTICA, LDA","INTERNACIONALIZAcaO, CRESCIMENTO E COMPETITIVIDADE",SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,IAPMEI,Felgueiras,Norte,Comercio,"47410 - Comercio a retalho de computadores, unidades perifericas e programas informaticos, em estabelecimentos especializados",,19-Mar-13,16000,12000,508309751
30538,"MAFALDA FLORES GOMES CONSULTORIA UNIPESSOAL, LDA",DESENVOLVIMENTO DO SISTEMA DE GESTaO AMBIENTAL PELA NORMA NP EN ISO 14001,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,IAPMEI,Vila do Conde,Norte,Servicos,70220 - Outras actividades de consultoria para os negocios e a gestao,,19-Mar-13,20000,15000,510009557
30542,"CUBO COMPUTADORES, UNIPESSOAL, LDA","INTERNACIONALIZAcaO, CRESCIMENTO E COMPETITIVIDADE",SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,IAPMEI,Felgueiras,Norte,Comercio,"47410 - Comercio a retalho de computadores, unidades perifericas e programas informaticos, em estabelecimentos especializados",,19-Mar-13,16000,12000,509071155
30551,"ACQUA FOX - INNOVATION & ENGINEERING SOLUTIONS, LDA",CRIAcaO DE MATERIAL INOVADOR PARA O SEGMENTO FOOTWEAR,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,IAPMEI,Fafe,Norte,Servicos,71120 - Actividades de engenharia e tecnicas afins,,19-Mar-13,20000,15000,509961240
30556,"E Q S SERVIcOS DE ENGENHARIA QUALIDADE E SEGURANcA, LDA",IDENTIFICAcaO AUTOMaTICA DE PATOLOGIAS EM CONETORES AcO-BETaO DE PONTES MISTAS,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,IAPMEI,Maia,Norte,Servicos,71200 - Actividades de ensaios e analises tecnicas,,19-Mar-13,20000,15000,507379659
30564,"PAMPLONAS - UNIPESSOAL, LDA","APOSTAR NA COMUNICAcaO DIGITAL E NA INTERNET, DESENVOLVER A ACcaO COMERCIAL",SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,TP,Gondomar,Norte,Turismo,56101 - Restaurantes tipo tradicional,,19-Mar-13,17000,12750,503101532
30568,"REMOTE SOURCE, CONSULTORIA E GESTaO, UNIPESSOAL, LDA",PORTAL WEB INTERATIVO DE INTERFACE COM CLIENTES,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,IAPMEI,Porto,Norte,Servicos,70220 - Outras actividades de consultoria para os negocios e a gestao,,19-Mar-13,6000,4500,509887406
30577,"SERCOR - SOC- EXPORTADORA ROLHAS E CORTIcAS, S A",IMPLEMENTAcaO DE UM SISTEMA DE GESTaO AMBIENTAL SEGUNDO A NORMA NP EN ISO 14001:2004,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,IAPMEI,Santa Maria da Feira,Norte,Industria,16294 - Fabricacao de rolhas de cortica,,19-Mar-13,12500,9375,500871809
30578,"SOPRECOR, S A",IMPLEMENTAcaO DE UM SISTEMA DE GESTaO AMBIENTAL SEGUNDO A NORMA NP EN ISO 14001:2004,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,IAPMEI,Santa Maria da Feira,Norte,Industria,16294 - Fabricacao de rolhas de cortica,,19-Mar-13,12500,9375,502634472
31712,"GOTINHA ROSA, LDA",E-FARMA,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,IAPMEI,Viana do Castelo,Norte,Comercio,"47730 - Comercio a retalho de produtos farmaceuticos, em estabelecimentos especializados",,19-Mar-13,20000,15000,507663225
31716,"DIGISTART - SISTEMAS ELETRoNICOS, LDA",IMPLEMENTAcaO DO BALANCED SCORE CARD E CONTROLO DE GESTaO,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,IAPMEI,Arouca,Norte,Industria,33120 - Reparacao e manutencao de maquinas e equipamentos,,19-Mar-13,8000,6000,505451913
31678,"SOTEL COMUNICAcoES - SIMoES MENDES E FERREIRA, LDA",IMPLEMENTAcaO DE ACcoES DE ECONOMIA DIGITAL E CONSULTORIA PARA O POSICIONAMENTO ESTRATeGICO NOS MERCADOS,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,IAPMEI,Guimaraes,Norte,Comercio,"47420 - Comercio a retalho de equipamento de telecomunicacoes, em estabelecimentos especializados",,19-Mar-13,20030,15000,502014792
31682,"SOLUNEXT - CONSULTORIA DE SISTEMAS DE GESTaO, UNIPESSOAL, LDA",ORGANIZAcaO E GESTaO E TECNOLOGIAS DE INFORMAcaO E COMUNICAcaO/ AQUISIcaO DE SERVIcOS DE CONSULTORIA,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,IAPMEI,Santa Maria da Feira,Norte,Servicos,62090 - Outras actividades relacionadas com as tecnologias da informacao e informatica,,19-Mar-13,14250,10688,506212360
31692,"SEAGA - SERVIcOS ESPECIALIZADOS DE ASSISTeNCIA EM GESTaO E ADMINISTRAcaO, LDA",IMPLEMENTAcaO DE ACcoES DE ECONOMIA DIGITAL E CONSULTORIA PARA O POSICIONAMENTO ESTRATeGICO NOS MERCADOS,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,IAPMEI,Guimaraes,Norte,Servicos,70220 - Outras actividades de consultoria para os negocios e a gestao,,19-Mar-13,20200,15000,502886617
31759,"PROVENTUR, LDA",CRIAcaO DO HOTEL RURAL MONTE DA PROVENcA 4 ESTRELAS,SI Inovacao/Inovacao Produtiva,12/SI/2012,PO Alentejo,TP,Elvas,Alentejo,Turismo,55202 - Turismo no espaco rural,,19-Mar-13,1408411,915467,508981859
31781,"UPDIGITAL, LDA",DESENVOLVIMENTO DE APLICAcaO TVCHAPTER E PRESTAcaO DO NOVO SERVIcO TV LISTING,SI Inovacao/Empreendedorismo Qualificado,13/SI/2012,PO Lisboa,IAPMEI,Oeiras,Lisboa,Servicos,62090 - Outras actividades relacionadas com as tecnologias da informacao e informatica,,19-Mar-13,282217,154457,509624979
31875,"OGMA INDuTRIA AERONaUTICA DE PORTUGAL, SA",INOGMA,SI Inovacao/Inovacao Produtiva,12/SI/2012,PO Lisboa,AICEP,Vila Franca de Xira,Lisboa,Industria,"30300 - Fabricacao de aeronaves, de veiculos espaciais e equipamento relacionado",,19-Mar-13,5085508,421213,500792828
